"","GSM505331","GSM505333","GSM505335","GSM505336","GSM505340","GSM505341","GSM505342","GSM505343","GSM505344","GSM505345","GSM505349","GSM505350","GSM505351","GSM505356","GSM505357","GSM505358","GSM505359","GSM505360","GSM505369","GSM505370","GSM505372","GSM505373","GSM505376","GSM505380","GSM505386","GSM505400","GSM505411","GSM505413","GSM505416","GSM505417","GSM505418","GSM505419","GSM505421","GSM505423","GSM505425","GSM505428","GSM505432","GSM505434","GSM505435","GSM505447","GSM505450","GSM505454","GSM505459","GSM505460","GSM505466","GSM505467","GSM505475","GSM505476","GSM505478","GSM505487"
"219806_s_at",9.981,9.2804,9.5146,11.4363,8.7228,8.8092,9.1168,10.2279,9.2563,9.729,8.8481,10.4969,10.5138,9.7943,10.3252,9.8692,9.7699,9.8204,11.6356,9.6978,10.1335,9.0099,8.7349,9.0913,9.0237,9.1789,10.1636,10.4442,9.7399,9.1258,9.4787,11.401,10.8606,9.2318,7.7794,9.6235,10.0424,9.8949,9.2652,9.5236,9.3153,10.7532,9.1519,9.852,9.106,9.6431,10.6444,8.2446,10.1555,10.2381
"203904_x_at",9.6852,9.717,9.5425,9.9536,8.806,9.2224,9.6571,10.1328,9.5101,9.6038,8.6105,9.7079,9.5395,10.0214,9.8829,9.4748,10.3389,9.9871,9.6123,9.3809,9.1546,8.5869,9.46,9.0235,9.666,9.2022,9.1372,9.1606,8.9084,9.3007,9.6799,8.3809,9.6238,9.0219,9.0469,9.6026,10.1095,10.0122,10.5533,9.4518,8.3048,8.7232,9.0738,9.4383,8.3623,8.8024,10.3879,8.6455,9.9809,9.4738
"208682_s_at",9.7605,8.3875,11.1263,9.1876,10.0106,10.27,11.0808,10.3881,11.0533,9.3447,9.6745,9.8108,9.5312,9.971,11.8471,9.9441,9.9268,8.8272,9.5082,9.0867,9.6567,9.8274,10.3933,11.6363,13.6939,9.6627,10.6594,10.0727,10.6801,9.5394,10.2565,9.4326,9.8733,9.249,10.5861,9.5114,12.1344,9.4326,8.8489,10.4871,10.8522,8.7583,10.2938,9.7422,10.1471,9.7833,9.477,11.9871,10.116,10.5702
"202139_at",9.1326,9.1653,9.6656,9.741,9.0234,8.9808,9.562,9.4932,9.7562,9.169,9.4119,9.5314,9.8142,8.7847,9.3912,9.2431,9.6776,9.411,8.7422,9.988,9.1598,9.3023,9.2324,9.8411,9.5328,9.5099,8.5122,9.3583,8.756,9.8552,8.6079,8.3515,9.4855,9.0506,9.3689,10.2692,9.8319,7.7979,8.8434,9.051,8.6956,9.2413,9.5519,9.3898,10.3299,9.7448,9.4302,9.9813,9.2225,8.8837
"204862_s_at",9.0206,9.1647,9.181,8.6182,9.8439,9.7092,10.0539,9.7404,9.3065,8.1859,8.9664,9.6172,9.2929,9.6242,8.6571,8.8653,9.5046,9.568,9.5946,9.9619,9.3203,10.2417,11.1714,10.6326,11.3985,9.652,9.8921,7.408,10.4021,7.5714,10.8157,11.1991,8.4254,9.446,10.2985,8.8696,10.4846,8.9473,8.8669,9.7413,9.5756,9.9197,9.6688,9.4468,8.9188,9.6924,9.1413,10.4513,8.9496,9.2492
"218195_at",8.2721,7.9139,8.1801,8.3366,7.4925,8.3895,7.6365,7.4394,10.2975,7.7218,9.1125,8.4745,7.3297,8.1754,9.3182,8.0894,8.8225,7.3223,8.6636,8.6621,7.4783,9.5644,5.2967,8.3504,7.1592,8.1433,7.6275,6.9624,8.0094,6.1922,7.7852,6.9487,6.1667,6.4936,7.758,8.8548,9.636,7.4383,8.9216,7.5173,12.0259,8.4426,10.4997,8.2384,8.4483,8.3483,8.4427,11.2198,9.4797,8.75
"201413_at",10.0372,9.8207,9.6725,9.3934,9.8636,10.7594,10.115,9.074,9.7682,8.9542,8.7777,10.8168,9.3037,9.6825,10.5714,8.9214,10.381,9.5416,9.7692,9.9902,9.9949,10.5961,10.3742,10.5937,10.0811,9.0125,10.0261,9.6849,10.794,9.9372,9.0796,10.3175,9.3911,9.8139,10.1578,9.5337,10.6102,10.3203,9.9206,10.1045,10.6755,10.1242,11.3139,10.3932,11.6277,9.8479,9.4297,11.4468,10.3092,11.4872
"210652_s_at",8.8334,7.7222,9.634,7.534,7.8681,10.0096,8.5111,9.0076,10.6656,7.5041,9.7586,10.8942,8.8192,8.4403,9.8669,7.7961,7.6871,8.5245,9.8576,7.0468,7.9407,10.1741,10.0325,10.0193,7.9387,9.8624,8.9034,7.8485,9.6788,5.0684,8.3007,10.2472,6.5398,8.8021,8.6381,6.8519,10.3211,9.037,6.376,7.9305,10.1099,8.1011,8.0396,5.9902,5.4376,8.2289,8.3703,9.5071,7.7349,9.4517
"41660_at",7.1483,6.4363,8.6277,5.9426,9.8691,8.869,7.2838,5.665,9.3741,8.0666,5.9222,7.2576,8.0017,7.7546,7.6812,6.5394,6.8771,7.2436,7.8809,7.7368,7.7016,8.9184,8.2046,9.6023,9.6887,7.3392,7.2785,7.1716,9.6268,9.0462,9.0246,7.9993,8.163,6.8363,8.4753,7.2518,8.3997,8.2869,6.4193,9.0875,9.2215,7.1819,7.7137,6.8946,6.6435,8.2209,7.5205,9.7033,8.055,7.4649
"212219_at",10.5228,10.467,10.6626,10.939,10.614,9.5651,10.358,10.1321,9.9582,10.6571,10.279,10.511,9.8925,9.8396,9.5518,10.7243,11.7759,10.6964,10.551,10.8636,9.876,10.0156,9.1455,10.2987,10.2054,9.6282,10.6951,9.8642,9.8639,9.4653,11.0154,10.0376,10.4593,11.0087,10.5512,10.0304,10.5444,10.2288,8.8232,10.2539,10.7288,10.1299,10.5263,10.1138,10.0193,10.5535,10.3793,10.5732,9.509,10.3345
"214552_s_at",7.8996,7.6154,8.3517,8.3191,8.1282,8.2668,7.846,6.7915,9.9873,8.1365,7.9074,7.6204,7.9097,7.6856,8.044,7.7708,7.7673,7.9405,7.4246,8.1882,7.7189,8.2829,7.9698,8.3237,7.782,8.4823,6.5407,8.6215,8.6946,7.2963,8.3303,6.4992,7.8312,7.9272,7.9581,7.672,8.6939,8.5398,8.3902,6.9152,8.2684,7.4499,8.139,7.8098,7.9463,7.6551,7.8448,9.5312,8.3642,8.7557
"219913_s_at",8.2174,8.408,8.6022,8.9545,8.497,9.7325,9.3573,8.3586,8.8694,8.549,9.8929,8.2521,8.4699,7.8011,8.5755,8.3659,8.9222,8.8905,7.8186,8.7766,8.6923,9.2038,7.5596,9.7859,9.136,7.7705,7.4122,8.8762,8.3905,8.9391,7.6893,7.2887,8.4739,7.995,8.8565,8.9152,9.0013,9.2375,8.8493,8.8046,8.0671,8.9605,9.898,9.2285,8.8167,8.7224,8.8618,9.7297,9.1918,8.5532
"203143_s_at",8.2422,8.8707,8.782,7.7838,8.6883,7.9517,9.1238,7.7489,8.5993,9.2004,8.791,8.0132,6.842,8.7848,8.1848,8.7906,8.2928,8.2597,8.2834,8.8462,8.459,9.1488,8.2652,8.7093,8.9652,8.9646,8.219,9.4439,9.2538,6.8527,8.3501,8.4788,6.2875,7.6669,9.86,8.9675,9.0134,7.826,9.7947,8.7673,8.3105,7.5767,8.7718,7.434,7.4295,7.8731,8.0038,9.3082,8.8528,7.4811
"212638_s_at",11.3121,9.6823,10.7692,9.9999,9.6299,10.3085,10.6256,11.3392,9.7966,8.799,11.2238,10.4894,10.039,9.8716,10.9159,8.9729,9.4904,9.6986,9.5126,9.4569,9.1695,10.6046,9.0734,10.5233,8.5671,10.5767,8.9679,8.5307,9.9256,9.5558,10.3938,10.2786,9.5179,7.6491,12.1839,9.686,10.9958,10.1204,10.2894,10.1985,9.8447,8.6403,10.6603,9.2557,10.2901,10.5228,10.2786,11.5237,10.0946,9.7368
"201754_at",14.0147,13.2727,14.4283,13.4845,12.6604,13.6393,13.8147,13.5301,13.6923,12.5206,13.6705,13.656,14.4878,12.2354,13.9865,12.357,13.5352,13.4404,13.4918,12.6939,12.1815,14.6929,13.4871,13.6213,12.8591,13.6981,13.1726,12.5623,12.8462,13.8081,13.8316,14.5722,13.4669,14.3829,16.0553,13.5956,13.5043,13.5342,13.1294,14.2033,13.1132,13.5631,14.255,13.6222,14.1576,13.1749,13.6375,15.9536,12.7118,12.889
"202641_at",8.5456,8.7381,8.7973,9.0609,8.8785,10.3316,9.0481,9.0765,10.1928,9.2523,8.4074,7.9411,8.7286,8.8627,9.4142,8.6813,8.6836,9.1133,8.8059,9.173,9.0736,9.8649,8.9365,10.4444,9.4675,8.5284,9.1106,9.233,9.6793,9.6577,9.6515,8.9713,8.9176,8.6778,8.6727,9.6345,9.9146,9.0348,8.4291,9.6806,10.1037,9.1349,9.1046,9.7089,9.6319,9.1895,8.5808,11.1666,8.6332,9.5965
"203693_s_at",8.3013,9.028,9.2858,9.7804,8.985,8.5468,8.8134,8.9117,9.2303,9.2152,8.7341,7.8563,8.5376,9.116,8.2969,9.7119,8.8308,9.6354,9.3852,9.2967,8.6007,8.4116,8.2263,8.8271,8.1757,8.9571,9.2243,8.7363,8.3083,8.6903,9.0612,9.0286,10.0273,9.8153,8.2372,8.7834,8.3894,10.2173,8.4781,9.2426,8.8019,9.382,8.4121,9.4491,9.6783,9.141,7.6804,8.7596,8.3148,7.5715
"212276_at",10.2338,9.3869,8.6111,10.8303,9.1884,9.202,9.2562,8.9022,10.6992,9.8984,8.7401,10.5622,9.8181,9.7899,8.647,9.8911,11.8607,9.3204,10.6586,10.9085,10.0927,8.3755,9.9307,9.1258,8.1639,9.0707,11.1153,9.5916,9.5343,7.8342,10.2177,9.1599,9.7416,11.2097,8.9463,9.7385,9.3973,9.0465,10.2231,8.5319,8.6153,11.2456,8.6559,9.1917,9.7728,11.2741,11.5555,8.8905,10.0214,10.0409
"35666_at",9.529,10.754,10.4379,9.2288,11.4921,11.2267,10.6545,10.9645,10.0586,10.326,10.7131,9.2333,10.551,9.7121,10.6775,9.3264,10.4082,9.3083,9.6058,9.573,9.6377,12.0356,9.9864,10.3779,10.1477,10.1272,9.8099,10.1312,10.5448,11.7234,10.4059,10.6481,9.583,10.0924,10.3891,9.3271,11.1007,11.7611,8.7692,9.6618,10.446,9.9807,10.2678,8.8428,10.2094,10.1115,10.329,11.0068,9.1664,10.0516
