"","Model","AUCMEAN","ROCRAUCMEAN","AUC","ROCRAUC"
"87","446","0.977370814073697","0.977370814073697","0.970966881672533","0.97096688167254"
"88","152","0.977255847239061","0.977255847239061","0.970906805067535","0.970906805067536"
"89","162","0.976262242897353","0.976262242897353","0.970843065254915","0.970843065254922"
"90","166","0.976133321072417","0.976133321072417","0.970714852988152","0.97071485298815"
"91","456","0.976867147227199","0.976867147227199","0.970664300722971","0.970664300722974"
"92","24","0.973026926292769","0.973026926292769","0.970655509024678","0.970655509024679"
"93","453","0.976690529123869","0.976690529123869","0.970527296757915","0.970527296757918"
"94","372","0.975487653142065","0.975487653142065","0.970356591282738","0.970356591282741"
"95","776","0.975396107305792","0.975396107305792","0.970355125999689","0.970355125999689"
"96","194","0.977420419390766","0.977420419390766","0.970149986372868","0.970149986372867"
"97","16","0.977226708884797","0.977226708884797","0.970131670334759","0.970131670334759"
"98","142","0.97972285072169","0.97972285072169","0.970114819579698","0.970114819579698"
"99","226","0.975417999136048","0.975417999136048","0.970105661560644","0.970105661560644"
"100","110","0.977838274683621","0.977838274683621","0.97008990976787","0.970089909767869"
"101","40","0.975966861374708","0.975966861374708","0.969816634479282","0.96981663447929"
"102","150","0.973795563923055","0.973795563923055","0.96967853155194","0.969678531551939"
"103","17","0.972594164057835","0.972594164057835","0.969670838815934","0.969670838815936"
"104","353","0.974092697345189","0.974092697345189","0.969592446172827","0.96959244617283"
"105","229","0.975816200488753","0.975816200488753","0.969581456549962","0.969581456549971"
"106","243","0.976330459650071","0.976330459650071","0.969563140511853","0.96956314051186"
"107","250","0.976361550529507","0.976361550529507","0.969481817302648","0.96948181730265"
"108","376","0.974593257752023","0.974593257752023","0.96937631692314","0.969376316923137"
"109","671","0.972551064727971","0.972551064727971","0.969298656921558","0.969298656921559"
"110","624","0.975591854471208","0.975591854471208","0.969273014468205","0.969273014468208"
"111","720","0.973468033371284","0.973468033371284","0.969246639373328","0.969246639373328"
"112","143","0.974191997193231","0.974191997193231","0.969246639373328","0.969246639373327"
"113","124","0.975278454023617","0.975278454023617","0.969132347295527","0.969132347295525"
"114","90","0.974122241567772","0.974122241567772","0.96911769446504","0.969117694465044"
"115","460","0.976473675298801","0.976473675298801","0.969101576351504","0.969101576351504"
"116","145","0.976955357788998","0.976955357788998","0.969012194085532","0.969012194085536"
"117","362","0.975817925513456","0.975817925513456","0.969005600311812","0.969005600311808"
"118","252","0.977189078572786","0.977189078572786","0.968954315405107","0.9689543154051"
"119","439","0.975958369900224","0.975958369900224","0.968952850122058","0.968952850122065"
"120","334","0.976659662208134","0.976659662208134","0.968919881253462","0.968919881253461"
"121","582","0.975358749570147","0.975358749570147","0.968911822196694","0.968911822196698"
"122","769","0.974504471470222","0.974504471470222","0.968893506158585","0.968893506158585"
"123","208","0.975014291443278","0.975014291443278","0.968891308234012","0.96889130823401"
"124","540","0.975103129858403","0.975103129858403","0.968796797477369","0.968796797477386"
"125","731","0.972811261426804","0.972811261426804","0.968748443136761","0.968748443136763"
"126","300","0.972963831690612","0.972963831690612","0.968643675398777","0.968643675398779"
"127","510","0.972963831690612","0.972963831690612","0.968643675398777","0.968643675398779"
"128","36","0.974381651837728","0.974381651837728","0.968642210115728","0.968642210115737"
"129","120","0.974436017304777","0.974436017304777","0.968633418417436","0.968633418417444"
"130","234","0.97146549456771","0.97146549456771","0.968571510208627","0.968571510208633"
"131","563","0.97322382282911","0.97322382282911","0.968519492660397","0.968519492660399"
"132","241","0.970243007824398","0.970243007824398","0.968500810301526","0.968500810301531"
"133","562","0.974874318611886","0.974874318611886","0.968494949169331","0.968494949169331"
"134","31","0.970671595695541","0.970671595695541","0.968485424829514","0.968485424829514"
"135","204","0.973719889172289","0.973719889172289","0.968459049734637","0.968459049734646"
"136","663","0.973724852736559","0.973724852736559","0.9684158238847","0.96841582388469"
"137","369","0.974026701282893","0.974026701282893","0.968403368978786","0.968403368978787"
"138","360","0.972841355192652","0.972841355192652","0.968366004261043","0.968366004261041"
"139","544","0.977328459310512","0.977328459310512","0.968298601240802","0.968298601240806"
"140","628","0.97581616226445","0.97581616226445","0.968243653126474","0.968243653126479"
"141","352","0.975898736042796","0.975898736042796","0.968225703409128","0.968225703409128"
"142","157","0.971201456777477","0.971201456777477","0.968172586898611","0.96817258689861"
"143","327","0.975712357606417","0.975712357606417","0.968045107273372","0.968045107273369"
"144","579","0.973834408451814","0.973834408451814","0.967992357083618","0.967992357083622"
"145","134","0.975563493287758","0.975563493287758","0.967964516705692","0.967964516705687"
"146","418","0.976087272689972","0.976087272689972","0.967939606893864","0.967939606893865"
"147","101","0.972274448902061","0.972274448902061","0.967936310007004","0.967936310007005"
"148","199","0.971028391235241","0.971028391235241","0.967905905383743","0.967905905383746"
"149","565","0.975597222700116","0.975597222700116","0.967853887835513","0.967853887835511"
"150","355","0.975279395255015","0.975279395255015","0.967803335570332","0.967803335570331"
"151","325","0.970257891390873","0.970257891390873","0.967771831984785","0.967771831984783"
"152","115","0.970860132988858","0.970860132988858","0.967731903021707","0.967731903021708"
"153","451","0.969548804679368","0.969548804679368","0.967622006793052","0.967622006793054"
"154","411","0.974532532869607","0.974532532869607","0.967594532735889","0.967594532735888"
"155","572","0.975160205247038","0.975160205247038","0.96759306745284","0.967593067452844"
"156","185","0.971970817284889","0.97197081728489","0.967580612546926","0.967580612546927"
"157","311","0.970908255765527","0.970908255765527","0.967527862357171","0.967527862357172"
"158","787","0.970628355047981","0.970628355047981","0.967508081036014","0.967508081036013"
